sentence_id	sentence	sentence_domain	source
16ac652e0e8ee87d824bc56531b1ece9a462a3b63a24dcb56486d02d97ec6049	მე ვარ ბობი. მე მაქ დიდი თავი და ყველანი მე მაბულინგებს, დამეხმარები?		ალექსი
16dba363d5733783d7c2d190a086ddc31eedb5b3b6c8adb643abd0bcbf63322f	ისტს მასწავლებელი გვიყვარს. 		დათუ ილია
16f8bccd79a93a91b4bced0fd421e00834ff969ee31c2a01e7c45f5d6f75e78a	უფსკრულიდან მოგისვრი ჩემო კარგო კაიიიიი?		ივა შტერიააააააააააააააააააააააააააააააააააააააააააააააააააააააააააააააააააააააააააააააააააააააააააააააა
173d5139d2f7b44cbe70a701ae411b377da76bbd0c506a4cd73a3e26d57f8733	ჩქიმ ბებიქ ჯგირ ტოლმა გაკეთ		ჩემი თავი
176f1aeab4a4067739189b06dacda5c2a772e3f01c9ca58504ea89161ef7a5ae	დამორჩილიში ჭანდიცალო მაჩამინჯე რენია		ინტერნეტი
177267b86d65a30e57c0cc7526635d8a8a87ea65fce8d997297af4750ce2f49b	მე რავ საქარტველო 		სესილი ქაქავა
181975c3795c41188bc46080202fcb3efd19403ba0374f6b665cc4c34c7c6e86	მუჭო რექ		მე თვითონ
183a79c24eedc0d4f2c6d8dc40f2c060d8cc9bb7d9a38975e5b2beac92d03ac1	რომელიმე ქვეყნის თეატრში ერთი თვის მანძილზე, სულ ქართული პიესები წარედგინათ?		VOA Georgian https://www.amerikiskhma.com/
183aa1f58090fb84af89fb75c4cacf43f878f49da1f2034ab4caac0ae63b19ec	"ბრელ კოს მუშ ხე დო ბირგული ნათხუა აფუნია."""		მეგრული ანდაზა
18578815bf5ed53c11bf7bb58af87b9426cadccdc69206424e44e21147de2030	ჩხუშ ჸიდირი მოკოდე დო ხოს ქიმვაბია		ჩემი თავი
18d70ba849c7a4a182f8f876cb63e57cb95ffa052b799f405284bcabbd3ecfb4	მესიმ გოლი გაიტანა.		სპორტი
18e6fe4be77d14b0987caf42aa0572ae10e11de5143a55a578d9dc42e7aae9d3	გაუმარჯოს ბაღანა გოგოებოოო		.
191d8ab7495d91e6e92a1eb6fc721da5b55eb23dae9b726338febd0ee81815c9	ეს რუჟია, რუჟი! გავოგნდი.		VOA Georgian https://www.amerikiskhma.com/
192315bc198af5a568f9b34cf99338a811a21d06951ceb26f6c2d5450faac51c	ჰიჰიჰაჰა		ბარბარე ოყუჯავა
194aecfd5d1a883b5c1fb62ce29957b193e851644239b4f6361f113cc2921593	ლებია ლასირი ლებია კიკილი ლებია რკვანილი – არძა ლებია რენია. 		მე თვითონ
19849618434fbbedb2b92332bc3fb56ebd01140b00453f76567b5bc51849c341	opopopopopopopopop		თამარი კაკულია
199a01a9dce1bc6a91b81a8462f1db1b720a30bd4740aac081c83e278a103028	მაგრამ ლუპა ჩვენთვის საჭირო მაგრამ ამავედროულად მარტივი და იშვიათად გამპსაყენებელი ხელსაწყოა	general	რვეულიდან
19a00b20c11201d4c00298b3ba6ca512ac5fdad7bce69214d4664b1514741eef	ერთერთი გარდაიცვალა შემდეგ კი მეორეც		ჯულიეტა ფა რომეო
1a77a280c7992409518cbc855d54a6e24e28d6b53fb542d1750a6f1bd4cf3ea7	me patara qartveli var nigga.	history_law_government	ბუნბაააა
1a86eb2119b0dee7773890da53a5158532353cc5465e547619c323ded1d54f38	ექო კონიაკა ბრატტ		ინტერნეტი
1ae7c9def203b231fd5f116b95288eaf7d9f8d65774043eb9198b930fcb3d86d	გაჭირება ეკოხონს ხონუნსია 		ინტერნეტი
1ae8b564602fd30c4c701dff29fd28d534c83e33f772f8fd4799ed3500d21383	ფრინველც ფსუალეფი ამშვენენც კოჩის გონება 		მეგრული სიტყვები
1aeb23e648d8fcf9e9b552233631fa5c05c047ed1bfdd736783595aa12bfb785	ჯგირო ვარექ სი	automotive_transport	ინტერნეტი
1af3c7bf0308c8851deb87a90e96f1db4a008f3336255e0bc317bbc765a8caeb	ნუკიმ კითხვა არ იცისს		5დ კლასი
1b05842de970d58ea684caf9db983f7e32e18c8a62f0f6ab00f049a98079a3ef	ნინია გურამას ხელ მოწერა მომე		ფაქტი
1b070dbadc316e9cbb875efc0a9793051fd305a0402e981b0872e43c716c20ac	ჯიმა ჯიმას ვემტერებუ		მე თვითონ
1b38900843716d2b75663dd820b083c5c7f929f75e9926ebb5fe6521a3f1bcdf	დედაზე მეტად არავის უყვარხარ სენს ცხოვრებაში.		მე თვითონ
1b928a7441b7801e628c1a9798e2293989a560eac0372444c42f5fabbd84353d	რუსეთი ყველაზე დიდი ქვეყანაა		ვილიპედია
1bcea28ab876cc1e639517cf2767019f5d1b2d723230ea2b71b3dedb665b44fc	ხასაკიკო		რეზი ხასავატაციანა
1be1e93ff69b05de351d29ffcdbfa6dba4a565290cb820ef0d761cc4039f990e	ჩქიმ ჯიმა დიო ჭიჭე რე		ჩემი თავი
1be67d1c6913edd0137688d5be220fff0eda901d31813148ef450b915e3f4875	სამარგალო		მე
1c1569142f3ce09761a5695245d4faf39135d040e781955dc38d3d5740048743	ჰაი ანდ ბაი		ჰაი ანდ ბაი
1c6b2f8e22a8ea2024755699bbc755727d5b68a6659a62ee49a3c74ff11ec0b6	გოღანერი სადილს ამდღარი საკაკალო უჯგუნია		ინტერნეტი
1c701d06419a65767927d5e42b0cf9c5a3e32d27eb0756cdcb81e62a520c1f45	დადიაქ ქოთქუადა ჭურათი წყარი იფუნენია.		ინტერნეტი
1c932f7e805286222d3a633733efe8c65fd51a6b485227b1ab6d1a455ddcf6eb	სი ვაიჩქჷნდა შხვას ქუდუჯერია.		ინტერნეტი
1d069f110245b70e5b73609ab5732dd394da05a9dc1b60dcd3baa4c9465c2402	ამაჭიშენია ადრე ენადგინა ჸურდგელც წიარი ვეგიოჭიშუანსია		ინტერნეტი
1d487b667240de4907ff91ab9b850ccb86bacde366df766eae718ca2971f8e94	მესსი ჯობია რონალდოს		ბარბარე ოყუჯავა
1dc02730e72772af0814068ed185ff28691ab114f6e2d63c86edc614501938c0	წარმოდგენილი ექსპონატები მაყურებელს მილტიმედიასთან აქტიური ურთიერთობის საშუალებას აძლევს.		VOA Georgian https://www.amerikiskhma.com/
1dc1613f34d48c5a220dd1331fd2ce0bd66d757574dae64bf9dfe8d7a6f0ef05	"ვაკო-და ჯა დო ქუათ გინირთუნია.""თუ არ უნდა ხე და ქვად გადაიქცევაო."""		ინტერნეტი
1e19e14eea28a9fda429fe38d59bb6abc27e542e7d25269ce05afe5f798ea767	ასევე კახეთსა და ქართლს სჰორის საზღვრები სულ იცვლებოდა 		ისტორია
1e23a8c66a0e65b91f97859d35bdb8ca381f9d8be828a6300daad8cc38bc9443	ართი მატახალც ოში მუმაგებელი ვეიალენი		ინტერნეტი
1e260d4bcc55331377f9370e51f0f99faa3c981ab3222662d950a32f23bb2c3c	english or spanish		anano kvaracxelia
1f11577f5c886645eb91260c62f72d0eca006a893fe584bf4f1421cc70ebf488	ძალიან overthinker ვარ მეგობრებო მიშველეთ		თეკლე კვარაცხელია
1f6fe01a77f9dfcfda9f1dc99d6c3167987bad4b368c0fbe4d35d622e46aa363	ჩვენ ვართ, საქართველო		ტვ 1-დან
1fbee30aab32ab86cda90f1c8324b9628407110371697b7ef53781144320cee0	ელენე ბანზზზ		ეეე
1ffa75d18575b8253a2ac4af2825d856b332bcd6bf38b7eeff28b5ed4a1d967b	მოდი გიჟო დამაყადაღე		ჟორააააააააააააააააააააააააააა
2072630aa0f462bf4d89bb076c8e0f6c51821f427f0b023e4bc07c197d51baae	გემუანი ნინა – ბედნიერი რინა ტკბილი ენა ბედნიერად ყოფნაა		ინტერნეტი
210abf3d13102903d1be6546220c33f2fc0434b62248235cd1c35c93be5b2ac5	ჰალა მადრიდ პუტა ბარსა 		ინტერნეტი
21a908c720a253c0ac34004847373373c607424c00403c79bbaed1f04dbaf949	ნოდო ნოდარ დუმბაძე		დადიანები
2205690b681239b06ae46d8cbe2160a3feb285642c7e216371e77d2b0b28ae92	თუნთიქ მუგერიასჷ-და ბაბა დოუძახია		ინტერნეტი
229dfe995fbed2b088c8ed65965745ba34f8941efd4d23ec85168faa3fbceeb4	ტუ კიცა კალაცელია ტამასობ ლეალ მადრიდსი მასინ ის ყველაზე კაი ფეხბურტელია??		ანდრო ნაჭყებია
22f7028e0df6e3f05a423260b42640929545c5147e40d706740f23e02f7fc93c	მესი, საუკეთესოა.		ფიფასგან
239daa9257d1601155699e046fe8b7f485b243020b92f8bd90a237039aaf2bd0	რა   ქვია მთვარეეზე  მოხვედრილ  ბიჭს? და რა ქვია კაცს რომელიც ვარსკვლავებს ითვლის?  		იუზა 
23ccdff03583bbd71349c3f1a71d5bceab426a9ea141c2a7431edfb88794a04d	ჭკიჭკიტიას ფსუა გეიალენ თიმწკუმა დინუნია ქიანა		ინტერნეტი
23d2c4701387d6d7a7478e6366e9475d705afa57ebe2a9dbc3f8adfb904871ef	ჩემი ხატია სამშობლო სახატე მთელი ქვეყანა განათებული მთა ბარი წილნა ყარია ღმერთთანა 	general	წიგნიდან
23f79b7c4937fafb05d5f7d7a6af10d8f23601f4cc9ce92f25a41d85852b0a0f	ამოვა მზე წვიმა გადაიქცევა ცისარტყელა		ბარბარე ოყუჯავა
23fc768645bc20bc860ea250d4caa513dfda4e86efffad8da02c8606ce29d968	შიდა ქართლში აღმოჩენილი ცეცხლთაყვანის ცემელთა სატაძრო კომპლექსის რეკოსტრუქცია	history_law_government	ისტორია 7 კლასი
240118776cbe4b6b95b222198a7822f5509aacbdd607331f9391a9e155fc7afb	ელი დო ვალიცალო რენია		ინტერნეტი
24054f84d2100b04c367d0da00a9dab5f2c04a6a3e271d44834356ca5d127f21	ეფშა ქვარა – გურაფას ხვარა.		მე თვითონ
241256b11bcaf76cb596175b99bbeb66cf10ae6a7efc9d432677d04bc5012eb1	რაც მოგივა დავითაო,  ყველა შენი თავითაო.  		ხალხური ანდაზა
2421367a71ac0076067b187e2579ab738cc2b6a9d0e3446b0484e6578d9bd8e7	მა მიორს მარგალურ		გჰ
242d7dcbbe6912d77736d23c7d01b857b94b7f97068ab4f2c09f9eef770df57f	ბრელ ფითქის ბრელ შურიში ებარა ოკონ		მე თვითონ
2431b8f394ff1f6d76218036a58f0db1c9893884447219b66e184fa9b3e6ed7a	ვიშონანს ატამას ხოწჷნდუა დო აშონანს ატამაშ ნახოწას ჭკუმუნდუა		ინტერნეტი
24554ea84001145ac1725fc2c09267c4254906d3a4458a23613e9218fb07643d	გალენ ჭუკიქ დენიხალენ ჭუკი გეგმორაჸუა.		მე
24df2623978147c0ca372f24792aea2fcf98c2bcf48ac065e959dde09ba95e8d	ამეჩუ საქართველო ლი. საქართველო ხოჩა ლესგდი ქვეყანა ლი.		საკუთარი ნამუშევარი
259c7b5a08c3364c6f150528e6488c3bfe6a09bf11e30ec3438cd1636572b015	გოგოები მაგრები ბიჭები კარგები არააქ მნიშნელობა მთავარია გული კარგი გქონდეს		>
2634e8042f5fdba24e8596be6ca368de8de3275c5e1b4c1698151e8433327c4b	თუ  ბუბა ბუბა ესეიგი ის ბუბააა?		ანდრო ნაჭყებია
266035a7cae32ba8af11eadad87a4cd4fb42033a43006ad1102b89626bc05227	ასე გაძაძულ სოფელში მოხვდნენ სოფელში.		,,ბოშები''
26694ef66bca0da38b553493c52db28f1143336eed493315119b72954c72bdd1	ქვეყანა დასეტყვილ ვენახს დაემსგავსა. მონღოლებმა მოაოხრეს ქართული მთა-ბარი. დაწიოკდა და აირია ხალხი.		.
266cd862435893e7c77ac730b3e8e227e8b960ea8f2cce76257db0a7b3998705	შრეკი		,
26702d66a36e20eb1e036de804e0a9e375a5d53cdbbe959787d4e6b2b26f1789	მოვხვდი თუ არა , ზუგდიდდსი ეს არის ზალიან კარგი ტუ იქნები ზუგდიდი არის ჰორიზონტალური მხარე		ცნობილი ფრაცა
2689a471bf12b8a32cce9e211498fa502962905ccd7a174ea5beb5edba09f504	საშველ-კვარზალი ვაუღუ		ინტერნეტი
268cf4d699aaf131535e471b7d907d57e5f11273adccbde65018df03174c7589	ართი თეში ვეჭყორდჷ მაჟიაქ ვეგეკეთასიე ვადოხორასიანი		ნ.ჭეჟია
2702528df6e107f831f72399d7ff5f1f29655f2f73fa5559b8b593bc863ebcc9	გუგუ ჩი ფლისა		სსს
277b3bb44117a230db079e7a1e905e00530908065dd72ad378a904e218253e83	ადრეიან ენადგინა ყურდგელშა წიარს ვამაჭიშენია 		ინტერნეტი
278708d16fd6b65a41f6a96a004832920c8802636b97333b08052af7a12c0138	ზაქრო ფალიაშვილი		ინტერნეტი
27b676458a9d45da7d493c551d836c44f16ce686359239df5e1d5ee63abad992	ვერა ხართ		თამარი კაკულია
27e3e6310b00e04289fff5b9938bd4158bb5885c1c0737e30d4dcaabdb100989	აკაშა მარცხი ქომოხვადუნ უკულ ნარღება მუს ოხვარუნია.		მე თვითონ
283c2f3ed05527f3eb02736edb3abee5401f340825c059846635f51a02f031a6	სკვამ ცირა რე		ინტერნეტი
288df52257e547140bb80b3f66639ec701c8d33bb82746d3544d7542916765ff	ართშახ დინაბადი ართიძახ ღურუნია.		ინტერნეტი
29488386c038da95465575836f9f94fceb23de19e8c5bd40dddad1100ec7cb59	"ანწი მაჟია დუს მითინ ვემნორდგუნსია.""აწი მეორე თავს არავინ დაგადგამსო."""		ნ.ჭეჟია
2949f68dc2dd10785801d27ef8c324edb6acc67c8448cfe8f8a8a788289d99d3	ბუტიას კერძი გემრიელიაობუტიას კერძი გემრიელიაო		ელენე ესებუა
29726ba40d8b28c3ea8f3c34d8e82e36e01140b1617fbbefe53ce26fcfff9b84	თქვენ იცით რომ დღეს ჩემი დაბადებისდღეა  		მე
29791d103612945163817807bcfd4858bcfd98ca1f771931620242584ae95201	ბაბუშ ნაჭკომა ჸუმურქ მოთას მეკვათ კიბირია.ბაბუქ ჸუმური ჭკომუა დო მოთას კიბირი კვათუა.		მეგრული
297c5995394a669c88f5703bef8e396fa17363afa77454bc250ac813b8028041	აკომპანომენტი-მუსიკალური თანხლება 		ლექსიკონი
